Ind	Individual	Group	n_Group	n_Day	Daily_SongRate
b1	1	T7d	1	2	0.005738569262586419
b1	1	T7d	1	4	0.007358276549682099
b1	1	T7d	1	5	0.006360159244067901
b1	1	T7d	1	6	0.22546812671203706
b1	1	T7d	1	7	0.5056967674581975
b3	3	T7d	1	3	0.019738423787515433
b3	3	T7d	1	4	1.3692253478515495
b3	3	T7d	1	5	3.0332556806596576
b3	3	T7d	1	6	6.240128218943679
b3	3	T7d	1	7	1.7260738449331514
b4	4	T7d	1	5	0.010359102377185186
b5	5	T7d	1	7	0.005701618062126543
b6	6	T7d	1	3	0.00667824936501852
b7	7	T14d	2	3	0.006284608517163581
b7	7	T14d	2	4	0.010138223568598765
b7	7	T14d	2	5	0.00490418812375
b7	7	T14d	2	6	0.014390974501033951
b7	7	T14d	2	7	0.015650177811398148
b7	7	T14d	2	14	0.07723279039801852
b8	8	T14d	2	4	0.03405423296822531
b8	8	T14d	2	5	0.006179033422175925
b8	8	T14d	2	6	0.04067474290912346
b8	8	T14d	2	7	0.07958595749037037
b8	8	T14d	2	8	0.019502078493438272
b8	8	T14d	2	9	0.058644984239413576
b8	8	T14d	2	10	0.236667016406142
b8	8	T14d	2	11	0.9489147909629413
b8	8	T14d	2	12	1.5546842715990339
b8	8	T14d	2	13	1.2914994909071544
b8	8	T14d	2	14	0.4508912888941636
b9	9	T14d	2	4	0.25179505697739507
b9	9	T14d	2	5	0.49920190484436117
b9	9	T14d	2	6	0.8820759863765555
b9	9	T14d	2	7	2.1548894150758766
b9	9	T14d	2	8	3.6499113328294133
b9	9	T14d	2	9	4.56563006911754
b9	9	T14d	2	10	4.481396799654201
b9	9	T14d	2	11	2.809042747925818
b9	9	T14d	2	12	3.226976730389411
b9	9	T14d	2	13	3.021552663710423
b9	9	T14d	2	14	1.036409791053037
b10	10	T14d	2	6	0.1284495472540031
b10	10	T14d	2	7	0.2330964273876605
b10	10	T14d	2	8	0.18478573674772839
b10	10	T14d	2	9	0.8244192355576789
b10	10	T14d	2	10	4.604127669775895
b10	10	T14d	2	11	4.965589395275808
b10	10	T14d	2	12	2.966260778131312
b10	10	T14d	2	13	1.172350856073111
b10	10	T14d	2	14	1.2441515841601667
b11	11	T14d	2	1	0.005993358330962963
b11	11	T14d	2	2	0.9854377318679537
b11	11	T14d	2	3	1.0962057691297222
b11	11	T14d	2	4	1.982383610657713
b11	11	T14d	2	5	5.693188146676493
b11	11	T14d	2	6	3.223619056704602
b11	11	T14d	2	7	3.5016735970606816
b11	11	T14d	2	8	4.492977520933812
b11	11	T14d	2	9	5.302764607064525
b11	11	T14d	2	10	8.137479668598049
b11	11	T14d	2	11	0.39124510133708645
b11	11	T14d	2	12	0.3759409535078148
b11	11	T14d	2	13	0.16829813777664815
b12	12	T14d	2	6	0.103108642093929
b12	12	T14d	2	7	0.030424435197570987
b12	12	T14d	2	8	0.08118789486679322
b12	12	T14d	2	9	0.013911319735608024
b12	12	T14d	2	10	0.19393164121807716
b12	12	T14d	2	11	0.5355472452478334
b12	12	T14d	2	12	0.9599363813061945
b12	12	T14d	2	13	2.198346691367099
b12	12	T14d	2	14	0.466581964750358
