Group	ProcessNum	HVC Volume (mm3)	HVC_nor
CON	992	0.086757	1.3285911179173048e-4
CON	993	0.0943921	1.4595964125560537e-4
CON	984	0.1278244	2.132895044218255e-4
CON	986	0.0851356	1.2406820169046925e-4
CON	995	0.0555874	8.598205723124517e-5
CON	982	0.1685046	2.815919117647059e-4
T1h	746	0.0471835	6.08034793814433e-5
T1h	751	0.150072	2.2567218045112784e-4
T1h	745	0.071328	9.854655982315558e-5
T1h	749	0.1393194	1.81760469667319e-4
T1h	743	0.064368	8.939999999999999e-5
T1h	741	0.096096	1.3056521739130436e-4
T3h	777	0.1179266	1.7527734839476816e-4
T3h	767	0.1399728	2.3067369808833226e-4
T3h	774	0.0925166	1.3933222891566264e-4
T3h	755	0.135157	2.708557114228457e-4
T3h	765	0.1485396	2.3865616966580976e-4
T3h	764	0.102003	1.545968475295544e-4
T8h	208	0.104942404	1.5387449266862172e-4
T8h	205	0.063500608	6.287188910891089e-5
T8h	206	0.138833907	1.9282487083333334e-4
T8h	207	0.16626395	2.1315891025641025e-4
T8h	305	0.081724392	1.0215549000000001e-4
T8h	209	0.129962476	2.092793494363929e-4
T3d	413	0.0981	1.4841149773071104e-4
T3d	302	0.1162	1.9366666666666667e-4
T3d	414	0.12522	1.6519788918205805e-4
T3d	245	0.09828	1.5404388714733544e-4
T3d	248	0.120906855	1.7247768188302423e-4
T7d	788	0.1514436	2.2050611531741413e-4
T7d	791	0.102124	1.3928532460447354e-4
T7d	789	0.1843072	2.6172564612326045e-4
T7d	792	0.0744876	1.153237343241988e-4
T7d	793	0.2705076	3.940961538461539e-4
T7d	790	0.094864	1.433857315598549e-4
T14d	798	0.2736778	3.966919843455574e-4
T14d	804	0.2338688	3.636019900497512e-4
T14d	799	0.412973	5.387775603392041e-4
T14d	797	0.1654312	2.4367535719546326e-4
T14d	803	0.1966492	3.2611807628524046e-4
T14d	805	0.237886	3.210337381916329e-4
